context_length,transport,mean_service_ms,slo_ms,lambda_max_rps,qpm
8192,nocache,3750.1,9375.3,0.08,4.8
8192,tcp,1236.4,9375.3,0.4044,24.26
8192,rdma,916.0,9375.3,0.5459,32.75
16384,nocache,8558.7,21396.9,0.0351,2.1
16384,tcp,2664.9,21396.9,0.1876,11.26
16384,rdma,2021.5,21396.9,0.2473,14.84
24576,nocache,14425.8,36064.6,0.0208,1.25
24576,tcp,4325.4,36064.6,0.1156,6.94
24576,rdma,3361.6,36064.6,0.1487,8.92
